Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL,County,ZIP Code,City
"vehicle parking in Cheatham County, Tennessee","Music City Truck And Trailer Parking, LLC",4.3,8.0,,Parking lot,233 Fesslers Ln,36.1517034,-86.7437939,Open,Closes 8 PM,,2025-02-25 15:01:28,(615) 810-6666,,"https://www.google.com/maps/place/Music+City+Truck+And+Trailer+Parking,+LLC/data=!4m7!3m6!1s0x8864654ef4d2c56f:0xf7f770685ea14200!8m2!3d36.1517034!4d-86.7437939!16s%2Fg%2F11fjzwjjgs!19sChIJb8XS9E5lZIgRAEKhXmhw9_c?authuser=0&hl=en&rclk=1",Davidson County,37210,Nashville
"vehicle parking in Cocke County, Tennessee",440 Truck Stop,3.4,"1,005",,Truck stop,1893 TN-73,35.8807118,-83.1850675,Open,Closes 11 PM,https://www.facebook.com/pages/440-Truckstop/202596986574855,2025-02-25 15:12:46,(423) 532-7470," 
Onsite services",https://www.google.com/maps/place/440+Truck+Stop/data=!4m7!3m6!1s0x885bdcb8b884de97:0xf20bbe8198963860!8m2!3d35.8807118!4d-83.1850675!16s%2Fg%2F11bw150lzg!19sChIJl96EuLjcW4gRYDiWmIG-C_I?authuser=0&hl=en&rclk=1,Cocke County,37821,N/A
"vehicle parking in Cocke County, Tennessee",Newport Truck Trailer Repair and Heavy Duty Towing,4.1,78,,Truck repair shop,116 Jasmine Rd,35.9768104,-83.2111053,Open 24 hours,,https://newporttruckrepair.com/,2025-02-25 15:13:11,(423) 623-2480," 
Onsite services",https://www.google.com/maps/place/Newport+Truck+Trailer+Repair+and+Heavy+Duty+Towing/data=!4m7!3m6!1s0x885bc22e9d6b0e4f:0xefa646477bdaf205!8m2!3d35.9768104!4d-83.2111053!16s%2Fg%2F1tf7yfrz!19sChIJTw5rnS7CW4gRBfLae0dGpu8?authuser=0&hl=en&rclk=1,Cocke County,37821,N/A
"vehicle parking in Coffee County, Tennessee",Truck Parking,5.0,1.0,,Parking lot,201 Expressway Dr,35.4609132,-86.0565527,,,,2025-02-25 15:15:50,201 Expressway Dr,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x886169e087ed0c35:0x946b96a926080f51!8m2!3d35.4609132!4d-86.0565527!16s%2Fg%2F11rrg7cyjf!19sChIJNQzth-BpYYgRUQ8IJqmWa5Q?authuser=0&hl=en&rclk=1,Coffee County,N/A,Manchester
"vehicle parking in Coffee County, Tennessee",Exit 127 truck parking and Storage.,5.0,13.0,,Parking lot,1775 TN-50,35.3046015,-85.8909131,,,https://exit127truckparking.com/,2025-02-25 15:15:54,,,https://www.google.com/maps/place/Exit+127+truck+parking+and+Storage./data=!4m7!3m6!1s0x88610d2db43d9ead:0x2c3f759ceb148165!8m2!3d35.3046015!4d-85.8909131!16s%2Fg%2F11t4hvprwt!19sChIJrZ49tC0NYYgRZYEU65x1Pyw?authuser=0&hl=en&rclk=1,Grundy County,37366,N/A
"vehicle parking in Crockett County, Tennessee",TRUCK PARKING AREA,3.1,8.0,,Parking lot,"9721-9705, US-70",35.5830679,-89.0911261,Open 24 hours,,,2025-02-25 15:17:25,,,https://www.google.com/maps/place/TRUCK+PARKING+AREA/data=!4m7!3m6!1s0x887ebfddfe11aad5:0xe0539e6cb0bfc551!8m2!3d35.5830679!4d-89.0911261!16s%2Fg%2F11gvz8z12h!19sChIJ1aoR_t2_fogRUcW_sGyeU-A?authuser=0&hl=en&rclk=1,Haywood County,38012,N/A
"vehicle parking in Crockett County, Tennessee",Truck parking,No reviews,,,Parking lot,154 TN-138,35.5947595,-89.0544653,,,https://truckparkingclub.com/,2025-02-25 15:17:40,154 TN-138,,https://www.google.com/maps/place/Truck+parking/data=!4m7!3m6!1s0x887ebf002ff9b5ab:0x71e3f469859b9e!8m2!3d35.5947595!4d-89.0544653!16s%2Fg%2F11w4h06q4p!19sChIJq7X5LwC_fogRnpuFafTjcQA?authuser=0&hl=en&rclk=1,Madison County,38301,N/A
"vehicle parking in Cumberland County, Tennessee",Truck and RV Parking,4.3,12,,Parking lot,52 Park Ln,35.9876548,-85.0152359,,,,2025-02-25 15:19:37,,,https://www.google.com/maps/place/Truck+and+RV+Parking/data=!4m7!3m6!1s0x886759e87644735f:0xdd55f3e66e932a18!8m2!3d35.9876548!4d-85.0152359!16s%2Fg%2F11j65nvz48!19sChIJX3NEduhZZ4gRGCqTbubzVd0?authuser=0&hl=en&rclk=1,Cumberland County,37855,Crossville
"vehicle parking in Cumberland County, Tennessee",Truck Parking Area Exit 336,4.1,113,,Parking lot,,35.8997887,-84.7808097,Open 24 hours,,,2025-02-25 15:19:46,,,https://www.google.com/maps/place/Truck+Parking+Area+Exit+336/data=!4m7!3m6!1s0x885dfb51d6a4759d:0x948dd5cf3ea0588f!8m2!3d35.8997887!4d-84.7808097!16s%2Fg%2F11c713m8kl!19sChIJnXWk1lH7XYgRj1igPs_VjZQ?authuser=0&hl=en&rclk=1,Cumberland County,N/A,N/A
"vehicle parking in Davidson County, Tennessee",Parking Semi Truck,No reviews,,,Parking lot,109 Candy Ln,36.0906892,-86.6936375,Open 24 hours,,,2025-02-25 15:23:32,(615) 568-7239,,https://www.google.com/maps/place/Parking+Semi+Truck/data=!4m7!3m6!1s0x88646fab985451d7:0xef049074db8be995!8m2!3d36.0906892!4d-86.6936375!16s%2Fg%2F11lsrfkf6f!19sChIJ11FUmKtvZIgRlemL23SQBO8?authuser=0&hl=en&rclk=1,Davidson County,37211,Nashville
"vehicle parking in Anderson County, Tennessee",Pilot truck parking,3.7,23.0,,Parking lot,304 Howard Baker Hwy,36.3781962,-84.2480661,Open 24 hours,,http://pilotflyingj.com/,2/25/2025 14:31,,,https://www.google.com/maps/place/Pilot+truck+parking/data=!4m7!3m6!1s0x885c53a13dfbd2f9:0x2e8a412873642db5!8m2!3d36.3781962!4d-84.2480661!16s%2Fg%2F11rd_zk0l1!19sChIJ-dL7PaFTXIgRtS1kcyhBii4?authuser=0&hl=en&rclk=1,Campbell County,37847,Caryville
"vehicle parking in Franklin County, Tennessee",Trolley Rock Truck Stop,3.4,43,,Gas station,8791 David Crockett Hwy,35.1207325,-86.1962542,Open 24 hours,,,2025-02-25 16:01:49,(931) 968-1234," 
""Truck parking too.""",https://www.google.com/maps/place/Trolley+Rock+Truck+Stop/data=!4m7!3m6!1s0x886180e4e41473ff:0x96459197b7d40040!8m2!3d35.1207325!4d-86.1962542!16s%2Fg%2F1tfwl2dx!19sChIJ_3MU5OSAYYgRQADUt5eRRZY?authuser=0&hl=en&rclk=1,Franklin County,37398,Winchester
"vehicle parking in Franklin County, Tennessee",Truck Parking Area,4.1,220,,Rest stop,,35.392668,-85.990791,Open now,,,2025-02-25 16:01:59,," 
""Truck parking, but with limited spots.""",https://www.google.com/maps/place/Truck+Parking+Area/data=!4m7!3m6!1s0x88616c6ad8ad5fa9:0xa5fe802c14c306de!8m2!3d35.392668!4d-85.990791!16s%2Fg%2F11c13rvzp6!19sChIJqV-t2GpsYYgR3gbDFCyA_qU?authuser=0&hl=en&rclk=1,Coffee County,37342,N/A
"vehicle parking in Giles County, Tennessee",Trucker Parking Lot- Tennessean,4.7,42.0,,Parking lot,3686 Pulaski Hwy,35.3107551,-86.8801933,,,,2025-02-25 16:05:49,,,https://www.google.com/maps/place/Trucker+Parking+Lot-+Tennessean/data=!4m7!3m6!1s0x8863a9fccfae8dd5:0x6b714258b867494d!8m2!3d35.3107551!4d-86.8801933!16s%2Fg%2F11fq_cxrlj!19sChIJ1Y2uz_ypY4gRTUlnuFhCcWs?authuser=0&hl=en&rclk=1,Marshall County,37047,Cornersville
"vehicle parking in Giles County, Tennessee",Truck parking,3.9,87.0,,Public parking space,Unnamed Road 37047,35.3288846,-86.8808273,,,,2025-02-25 16:05:50,,,https://www.google.com/maps/place/Truck+parking/data=!4m7!3m6!1s0x8863a86a99273d73:0x2c68f55860bb7f72!8m2!3d35.3288846!4d-86.8808273!16s%2Fg%2F11f1s31m9_!19sChIJcz0nmWqoY4gRcn-7YFj1aCw?authuser=0&hl=en&rclk=1,Marshall County,37047,N/A
"vehicle parking in Giles County, Tennessee",Trucker Parking Lot- Pilot,4.6,7.0,,Parking lot,,35.3042705,-86.8851307,Open 24 hours,,,2025-02-25 16:05:54,,,https://www.google.com/maps/place/Trucker+Parking+Lot-+Pilot/data=!4m7!3m6!1s0x8863a98c8369d90d:0xafe9178b105a03ba!8m2!3d35.3042705!4d-86.8851307!16s%2Fg%2F11j1cj3_9k!19sChIJDdlpg4ypY4gRugNaEIsX6a8?authuser=0&hl=en&rclk=1,Giles County,37047,N/A
"vehicle parking in Greene County, Tennessee",Truck Parking At Sam's Gap TN,4.4,65,,Parking lot,,35.9557005,-82.5591797,,,,2025-02-25 16:08:21,," 
""Plenty parking,Restrok.""",https://www.google.com/maps/place/Truck+Parking+At+Sam%27s+Gap+TN/data=!4m7!3m6!1s0x885a15f9cd08bf11:0xb37ae3c87f856c3!8m2!3d35.9557005!4d-82.5591797!16s%2Fg%2F11f01zj_1j!19sChIJEb8IzfkVWogRw1b4hzyuNws?authuser=0&hl=en&rclk=1,Unicoi County,N/A,N/A
"vehicle parking in Greene County, Tennessee",Crick Enterprises Inc. Truck and Trailer repair.,3.9,103,,Truck repair shop,3390 W Andrew Johnson Hwy,36.1736564,-82.8787765,Closed,Opens 8 AM Wed,https://www.facebook.com/profile.php?id=100087764018713,2025-02-25 16:08:22,(423) 783-9935," 
""Bring my 13 coronada here for all major work.""",https://www.google.com/maps/place/Crick+Enterprises+Inc.+Truck+and+Trailer+repair./data=!4m7!3m6!1s0x885a4c586df993fd:0x97b4ebe95be398d9!8m2!3d36.1736564!4d-82.8787765!16s%2Fg%2F1tfjlvmj!19sChIJ_ZP5bVhMWogR2ZjjW-nrtJc?authuser=0&hl=en&rclk=1,Greene County,37744,Greeneville
"vehicle parking in Hamilton County, Tennessee",Trucker Path Parking,4.9,18.0,,Parking lot,415 Scruggs Rd,34.9873555,-85.1945251,Open 24 hours,,http://truckerpathparking.com/,2025-02-25 16:18:20,(423) 521-0555," 
Onsite services not available",https://www.google.com/maps/place/Trucker+Path+Parking/data=!4m7!3m6!1s0x886067ccc635dc19:0xa9610ffdd0fcb7ce!8m2!3d34.9873555!4d-85.1945251!16s%2Fg%2F11w7ky644w!19sChIJGdw1xsxnYIgRzrf80P0PYak?authuser=0&hl=en&rclk=1,Hamilton County,37412,East Ridge
"vehicle parking in Hardeman County, Tennessee",Tennessee Truck Parking,3.0,9,,Parking lot,4032 TN-76,35.5369901,-89.2501112,Open,Closes 10 PM,,2025-02-25 16:24:45,," 
""Parking for 10-15 trucks depending on how they park.""",https://www.google.com/maps/place/Tennessee+Truck+Parking/data=!4m7!3m6!1s0x887ee7cce964b165:0x6ae37dd124f91100!8m2!3d35.5369901!4d-89.2501112!16s%2Fg%2F11fr4nhjsf!19sChIJZbFk6cznfogRABH5JNF942o?authuser=0&hl=en&rclk=1,Haywood County,N/A,Brownsville
"vehicle parking in Hardeman County, Tennessee",NY Truck Stop,4.4,39,,Gas station,1410 W Market St,35.2653695,-89.0109497,Open,Closes 12 AM,https://nytruckstop.wixsite.com/website,2025-02-25 16:24:46,(731) 658-7255," 
""The counter area was clean, the parking lot was very well lit and well kept.""",https://www.google.com/maps/place/NY+Truck+Stop/data=!4m7!3m6!1s0x887e8904278706bf:0x7ea6865309939d84!8m2!3d35.2653695!4d-89.0109497!16s%2Fg%2F11rqx3c7x9!19sChIJvwaHJwSJfogRhJ2TCVOGpn4?authuser=0&hl=en&rclk=1,Hardeman County,38008,Bolivar
"vehicle parking in Hardin County, Tennessee",Truck Parking,No reviews,,,Parking lot,790 1 Stop Dr,35.1757732,-88.2308777,,,,2025-02-25 16:25:40,790 1 Stop Dr,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x887dab004cdc6615:0xa555c1aaac950cb2!8m2!3d35.1757732!4d-88.2308777!16s%2Fg%2F11vryz57x7!19sChIJFWbcTACrfYgRsgyVrKrBVaU?authuser=0&hl=en&rclk=1,Hardin County,38372,N/A
"vehicle parking in Hardin County, Tennessee",Truck Parking,No reviews,,,Parking lot,6867 TN-57,35.0446078,-88.2627057,,,,2025-02-25 16:25:42,6867 TN-57,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x887dafcdeca535e3:0x75856cd45ddfa698!8m2!3d35.0446078!4d-88.2627057!16s%2Fg%2F11sqbhc412!19sChIJ4zWl7M2vfYgRmKbfXdRshXU?authuser=0&hl=en&rclk=1,Hardin County,38326,N/A
"vehicle parking in Hardin County, Tennessee",Truck Parking,No reviews,,,Parking lot,7375 TN-57,35.0469854,-88.2551587,,,,2025-02-25 16:25:43,7375 TN-57,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x887daf0629a0616d:0xfe64099046c500a1!8m2!3d35.0469854!4d-88.2551587!16s%2Fg%2F11rqr43vf4!19sChIJbWGgKQavfYgRoQDFRpAJZP4?authuser=0&hl=en&rclk=1,Hardin County,38326,N/A
"vehicle parking in Henderson County, Tennessee",Parkers Crossroads Truck & Auto Plaza,3.8,8.0,,Truck stop,21385 TN-22,35.7920802,-88.3917699,Open 24 hours,,,2025-02-25 16:30:43,," 
""A lot of different hot foods grab and go""",https://www.google.com/maps/place/Parkers+Crossroads+Truck+%26+Auto+Plaza/data=!4m7!3m6!1s0x887c71e629a093e3:0x9db52294dfa75574!8m2!3d35.7920802!4d-88.3917699!16s%2Fg%2F11rgr8xg9r!19sChIJ45OgKeZxfIgRdFWn35QitZ0?authuser=0&hl=en&rclk=1,Henderson County,38390,Parkers Crossroads
"vehicle parking in Henderson County, Tennessee",Pay Parking Truck Lot,No reviews,,,Parking lot,2053 Hwy 70 E,35.6791869,-88.7446517,,,,2025-02-25 16:30:44,2053 Hwy 70 E,,https://www.google.com/maps/place/Pay+Parking+Truck+Lot/data=!4m7!3m6!1s0x887c1d002daf694f:0x9bf532c363402598!8m2!3d35.6791869!4d-88.7446517!16s%2Fg%2F11whmt1wj2!19sChIJT2mvLQAdfIgRmCVAY8My9Zs?authuser=0&hl=en&rclk=1,Madison County,38305,N/A
"vehicle parking in Henderson County, Tennessee",East Bound Truck Parking,4.0,4.0,,Parking lot,,36.1681739,-86.0548092,,,,2025-02-25 16:30:51,,,https://www.google.com/maps/place/East+Bound+Truck+Parking/data=!4m7!3m6!1s0x8866bd004121bf9d:0x4e20144d5d17e0d0!8m2!3d36.1681739!4d-86.0548092!16s%2Fg%2F11vwpnhdnm!19sChIJnb8hQQC9ZogR0OAXXU0UIE4?authuser=0&hl=en&rclk=1,Smith County,N/A,N/A
"vehicle parking in Benton County, Tennessee",Pilot truck parking,3.8,22.0,,Parking lot,15559 TN-13,35.8823705,-87.8035193,,,https://pilotflyingj.com/prime-parking?survey=prime_parking_professional_drivers,2025-02-25 14:41:31,," 
""Plenty of parking""",https://www.google.com/maps/place/Pilot+truck+parking/data=!4m7!3m6!1s0x887ca1bc5573473d:0xced823e9859bc848!8m2!3d35.8823705!4d-87.8035193!16s%2Fg%2F11tk6_54r3!19sChIJPUdzVbyhfIgRSMibhekj2M4?authuser=0&hl=en&rclk=1,Humphreys County,37078,N/A
"vehicle parking in Houston County, Tennessee",West Bound Truck Parking,4.2,17.0,,Parking lot,196 Grant Hwy,36.1697827,-86.0496033,,,,2025-02-25 16:40:47,196 Grant Hwy," 
""Perfect spot for parking to tend to mishaps for oversize loads.""",https://www.google.com/maps/place/West+Bound+Truck+Parking/data=!4m7!3m6!1s0x8866bd5071d5ca01:0x56524faf6bc9eb!8m2!3d36.1697827!4d-86.0496033!16s%2Fg%2F11stf42ctt!19sChIJAcrVcVC9ZogR68lrr09SVgA?authuser=0&hl=en&rclk=1,Smith County,N/A,N/A
"vehicle parking in Houston County, Tennessee","Realize Truck Parking | La Vergne, TN | Waldron Rd",4.3,7.0,,Parking lot,381 Waldron Rd,36.007442,-86.593473,Open 24 hours,,https://realize-waldronrd.com/park,2025-02-25 16:40:53,(615) 437-8666," 
""Great parking place an nice people to wk with""","https://www.google.com/maps/place/Realize+Truck+Parking+%7C+La+Vergne,+TN+%7C+Waldron+Rd/data=!4m7!3m6!1s0x8864737c68da4649:0xf77e179d05dfbbc4!8m2!3d36.007442!4d-86.593473!16s%2Fg%2F11y30ct0kj!19sChIJSUbaaHxzZIgRxLvfBZ0Xfvc?authuser=0&hl=en&rclk=1",Rutherford County,37086,La Vergne
"vehicle parking in Houston County, Tennessee","Realize Truck Parking | La Vergne, TN | 1701 J P Hennessy Dr",4.4,9.0,,Parking lot,1701 J P Hennessy Dr,36.016762,-86.60046,Open 24 hours,,https://realize-tn.com/,2025-02-25 16:40:54,(615) 882-4049," 
Onsite services","https://www.google.com/maps/place/Realize+Truck+Parking+%7C+La+Vergne,+TN+%7C+1701+J+P+Hennessy+Dr/data=!4m7!3m6!1s0x886473a1eaa121eb:0xb7d829e5f1bcb304!8m2!3d36.016762!4d-86.60046!16s%2Fg%2F11l24k_l51!19sChIJ6yGh6qFzZIgRBLO88eUp2Lc?authuser=0&hl=en&rclk=1",Davidson County,37086,Nashville
"vehicle parking in Johnson County, Tennessee",Super 8 trucks parking,No reviews,,,Parking lot,110 Wesley St,36.3515098,-82.3781097,,,,2025-02-25 16:48:50,110 Wesley St,,https://www.google.com/maps/place/Super+8+trucks+parking/data=!4m7!3m6!1s0x885a7d7f0b007493:0xa99e9486eb7ee1ee!8m2!3d36.3515098!4d-82.3781097!16s%2Fg%2F11vzx5f_d7!19sChIJk3QAC399WogR7uF-64aUnqk?authuser=0&hl=en&rclk=1,Washington County,37601,Johnson City
"vehicle parking in Bledsoe County, Tennessee",Truck stop,No reviews,,,Parking lot,5734 TN-8,35.4453846,-85.4346859,,,,2025-02-25 14:43:53,5734 TN-8,,https://www.google.com/maps/place/Truck+stop/data=!4m7!3m6!1s0x8860e940e06b938f:0x9b1e57b9104ede64!8m2!3d35.4453846!4d-85.4346859!16s%2Fg%2F11sdd37bl3!19sChIJj5Nr4EDpYIgRZN5OELlXHps?authuser=0&hl=en&rclk=1,Sequatchie County,37327,N/A
"vehicle parking in Marshall County, Tennessee",Truck parking,4.1,117.0,,Public parking space,,35.3456009,-86.8797346,,,,2025-02-25 17:10:29,," 
""Safe parking for my truck overnight""",https://www.google.com/maps/place/Truck+parking/data=!4m7!3m6!1s0x8863a87384d0a4f5:0xe1d46415418c4cf9!8m2!3d35.3456009!4d-86.8797346!16s%2Fg%2F11gcjhjb0g!19sChIJ9aTQhHOoY4gR-UyMQRVk1OE?authuser=0&hl=en&rclk=1,Marshall County,34047,N/A
"vehicle parking in Marshall County, Tennessee",Trucker Parking Lot -Love's,4.3,9.0,,Parking lot,,35.6450182,-86.8929018,Open 24 hours,,,2025-02-25 17:10:39,," 
""Clean shower.👍""",https://www.google.com/maps/place/Trucker+Parking+Lot+-Love%27s/data=!4m7!3m6!1s0x88639da0bd097b8d:0x4fbdc3f746561bf1!8m2!3d35.6450182!4d-86.8929018!16s%2Fg%2F11fq_cqkwc!19sChIJjXsJvaCdY4gR8RtWRvfDvU8?authuser=0&hl=en&rclk=1,Maury County,38401,Columbia
"vehicle parking in Maury County, Tennessee",Truck Parking Northbound,No reviews,,,Parking lot,M4H6+JQ,35.679078,-86.888029,,,,2025-02-25 17:11:48,M4H6+JQ,,https://www.google.com/maps/place/Truck+Parking+Northbound/data=!4m7!3m6!1s0x88639d00177eb917:0xe1d3ebe398f6d9ea!8m2!3d35.679078!4d-86.888029!16s%2Fg%2F11x231yxp5!19sChIJF7l-FwCdY4gR6tn2mOPr0-E?authuser=0&hl=en&rclk=1,Maury County,N/A,Spring Hill
"vehicle parking in Bradley County, Tennessee",Cleveland Truck Parking,4.4,7.0,,Parking lot,492 Kile Ln SW,35.1452504,-84.897183,Open,Closes 5 PM,http://www.myclevelandtruckparking.com/,2025-02-25 14:51:22,(423) 614-0069,,https://www.google.com/maps/place/Cleveland+Truck+Parking/data=!4m7!3m6!1s0x885e2b64c1b90d2f:0xbfc862562b1a2f4a!8m2!3d35.1452504!4d-84.897183!16s%2Fg%2F11r_k4_2xs!19sChIJLw25wWQrXogRSi8aK1ZiyL8?authuser=0&hl=en&rclk=1,Bradley County,37311,Cleveland
"vehicle parking in Bradley County, Tennessee",Truck Parking - Super 8,No reviews,,,Parking lot,250 James Asbury Dr NW,35.210841,-84.8709135,Open 24 hours,,,2025-02-25 14:51:27,(423) 476-5555,,https://www.google.com/maps/place/Truck+Parking+-+Super+8/data=!4m7!3m6!1s0x885e2985727f6633:0x1a58bea8cffadd56!8m2!3d35.210841!4d-84.8709135!16s%2Fg%2F11jghsj7b_!19sChIJM2Z_coUpXogRVt36z6i-WBo?authuser=0&hl=en&rclk=1,Bradley County,37312,Cleveland
"vehicle parking in Bradley County, Tennessee",Truck Parking,4.1,270.0,,Truck stop,,35.1830548,-84.9077062,Open 24 hours,,,2025-02-25 14:51:29,,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x885e2a30684dd7f3:0x846837d41eb058c1!8m2!3d35.1830548!4d-84.9077062!16s%2Fg%2F11c31qkyg6!19sChIJ89dNaDAqXogRwViwHtQ3aIQ?authuser=0&hl=en&rclk=1,Bradley County,37311,N/A
"vehicle parking in Robertson County, Tennessee",Truck Parking,No reviews,,,Parking lot,5753 US-31W,36.6097695,-86.5800591,,,,2025-02-25 19:55:50,5753 US-31W,,https://www.google.com/maps/place/Truck+Parking/data=!4m7!3m6!1s0x8865cb0075f09a5b:0x870e4c56e897287!8m2!3d36.6097695!4d-86.5800591!16s%2Fg%2F11wj3kqb9t!19sChIJW5rwdQDLZYgRh3KJbsXkcAg?authuser=0&hl=en&rclk=1,Robertson County,N/A,Portland
"vehicle parking in Scott County, Tennessee",27 Truck Center,4.0,17.0,,Truck stop,27000 Scott Hwy,36.5913343,-84.4379517,Open 24 hours,,,2025-02-25 20:02:33,(423) 569-4495,,https://www.google.com/maps/place/27+Truck+Center/data=!4m7!3m6!1s0x885d058a77308b3b:0x859b13fde91afbb1!8m2!3d36.5913343!4d-84.4379517!16s%2Fg%2F11f4_337hj!19sChIJO4swd4oFXYgRsfsa6f0Tm4U?authuser=0&hl=en&rclk=1,Scott County,37892,Winfield
"vehicle parking in Shelby County, Tennessee",National Truck Parking Memphis,5.0,3.0,,Parking lot,4867 Getwell Rd,35.0158132,-89.9377218,Open 24 hours,,https://nationaltruckparking.com/locations/memphis-tn/,2025-02-25 20:10:13,(901) 613-1929," 
Onsite services",https://www.google.com/maps/place/National+Truck+Parking+Memphis/data=!4m7!3m6!1s0x887f899eb34875d3:0xe847654bbe5f83b7!8m2!3d35.0158132!4d-89.9377218!16s%2Fg%2F11krb390wx!19sChIJ03VIs56Jf4gRt4NfvktlR-g?authuser=0&hl=en&rclk=1,Shelby County,38118,Memphis
"vehicle parking in Shelby County, Tennessee","Freight Ninja Truck & Trailer Parking - Memphis, TN - Democrat Rd.",No reviews,,,Parking lot,2303 Democrat Rd,35.0681512,-89.9869567,Open 24 hours,,https://www.freightninja.com/parking-locations/memphis-tn-democrat-rd/,2025-02-25 20:10:41,(844) 303-1505,,"https://www.google.com/maps/place/Freight+Ninja+Truck+%26+Trailer+Parking+-+Memphis,+TN+-+Democrat+Rd./data=!4m7!3m6!1s0x887f87915c959a9f:0x60e8686377591342!8m2!3d35.0681512!4d-89.9869567!16s%2Fg%2F11sb4th6fj!19sChIJn5qVXJGHf4gRQhNZd2No6GA?authuser=0&hl=en&rclk=1",Shelby County,38132,Memphis
"vehicle parking in Wilson County, Tennessee",Long term truck parking,No reviews,,,Parking lot,149 TN-109,36.1874953,-86.40786,Permanently closed,,,2/25/2025 21:00,(615) 504-6732,,https://www.google.com/maps/place/Long+term+truck+parking/data=!4m7!3m6!1s0x886419acfdefa93d:0x4ac21d21e0ba378d!8m2!3d36.1874953!4d-86.40786!16s%2Fg%2F11j23mmppj!19sChIJPanv_awZZIgRjTe64CEdwko?authuser=0&hl=en&rclk=1,Wilson County,37090,Lebanon
"vehicle parking in Wilson County, Tennessee",Realize Truck Parking at Nashville Superspeedway,No reviews,,,Parking lot,McCrary Rd,36.0429552,-86.4183561,Temporarily closed,,https://www.werealize.io/,2/25/2025 21:00,(615) 200-7386,,https://www.google.com/maps/place/Realize+Truck+Parking+at+Nashville+Superspeedway/data=!4m7!3m6!1s0x88641bbecff023af:0xbbe644a6ce4d6858!8m2!3d36.0429552!4d-86.4183561!16s%2Fg%2F11vccx7r8d!19sChIJryPwz74bZIgRWGhNzqZE5rs?authuser=0&hl=en&rclk=1,Wilson County,37122,N/A
